latex,編碼,符號,點字,來源,count
\angle,2220,∠,⠫⠪,self,1
\measuredangle,2221,∡,⠫⠪⠸⠫⠫⠁⠻,self,2
,2222,∢,⠫⠪⠸⠫⠫⠁⠻,ctb,2
,2223,∣,⠳,ctb,2
,2224,∤,⠌⠳,ctb,1
\parallel,2225,∥,⠫⠇,self,1
\nparallel,2226,∦,⠌⠫⠇,self,1
,2227,∧,⠈⠩,self,2
,2228,∨,⠈⠬,self,2
,2229,∩,⠨⠩,self,2
,222A,∪,⠨⠬,self,2
\int,222B,∫,⠮,self,1
\iint,222C,∬,⠮⠮,self,1
\iiint,222D,∭,⠮⠮⠮,self,1
\oint,222E,∮,⠮⠈⠫⠉⠻,self,1
,222F,∯,⠮⠮⠈⠫⠑⠻,ctb,1
,2230,∰,⠮⠮⠮⠈⠫⠑⠻,ctb,1
,2232,∲,⠮⠈⠫⠪⠢⠔⠻,ctb,1
,2233,∳,⠮⠈⠫⠢⠔⠕⠻,ctb,1
\therefore,2234,∴,⠠⠡,self,1
\because,2235,∵,⠈⠌,self,1
∶,2236,∶,⠐⠂,self,1
,2237,∷,⠰⠆,self,2
,2238,∸,⠨⠤,self,1
,2239,∹,⠤⠐⠂,umbs,1
,223A,∺,⠐⠤⠩⠡⠡⠣⠡⠡⠻,umbs,1
,223B,∻,⠐⠈⠱⠩⠡⠣⠡⠻,umbs,2
\sim,223C,∼,⠈⠱,self,2
,223D,∽,⠠⠈⠱,ctb,1
,2241,≁,⠌⠈⠱,ctb,1
,2242,≂,⠱⠈⠱,ctb,1
,2243,≃,⠈⠱⠱,ctb,1
,2244,≄,⠌⠈⠱⠱,ctb,1
\cong,2245,≅,⠈⠱⠨⠅,self,1
,2246,≆,⠈⠱⠌⠨⠅,ctb,1
,2247,≇,⠌⠈⠱⠌⠨⠅,ctb,1
,2248,≈,⠈⠱⠈⠱,ctb,1
,2249,≉,⠌⠈⠱⠈⠱,ctb,1
,224A,≊,⠈⠱⠈⠱⠱,ctb,1
,224B,≋,⠈⠱⠈⠱⠈⠱,ctb,1
,224C,≌,⠠⠈⠱⠨⠅,ctb,1
,224D,≍,⠈⠣⠠⠣,ctb,2
,224E,≎,⠈⠣⠠⠣,ctb,2
,224F,≏,⠈⠣⠱,ctb,1
,2250,≐,⠐⠨⠅⠣⠡⠻,ctb,1
\doteqdot,2251,≑,⠐⠨⠅⠣⠡⠣⠡⠻,self,1
,2252,≒,⠐⠨⠅⠩⠡⠣⠡⠻,ctb,2
,2253,≓,⠐⠨⠅⠩⠡⠣⠡⠻,ctb,2
,2254,≔,⠐⠂⠨⠅,umbs,1
,2255,≕,⠨⠅⠐⠂,umbs,1
,2256,≖,⠨⠡⠈⠨⠅⠻,ctb,1
,2257,≗,⠐⠨⠅⠣⠨⠡⠻,ctb,1
,2258,≘,⠐⠨⠅⠣⠫⠁⠻,ctb,1
,2259,≙,⠐⠨⠅⠣⠸⠣⠻,ctb,1
,225A,≚,⠐⠨⠅⠣⠸⠩⠻,ctb,1
,225B,≛,⠐⠨⠅⠣⠈⠼⠻,ctb,2
