latex,code,symbol,nemeth,source,priority,ingore-braille-space
\MapsDown,021A7,↧,⠫⠩⠳⠒⠒⠕,umbs,1,True
,021A8,↨,⠫⠣⠪⠒⠒⠕⠳,umbs,1,True
\hookleftarrow,021A9,↩,⠫⠪⠒⠒⠈⠽,umbs,1,True
\hookrightarrow,021AA,↪,⠫⠈⠯⠒⠒⠕,umbs,1,True
\leftrightsquigarrow,021AD,↭,⠫⠪⠔⠒⠢⠕,umbs,1,True
\nleftrightarrow,021AE,↮,⠳⠈⠫⠪⠒⠒⠕⠻,umbs,1,True
\lightning,021AF,↯,⠫⠩⠔⠢⠔⠕,umbs,1,True
,021B4,↴,⠫⠩⠠⠳⠒⠕,umbs,1,True
,021B5,↵,⠫⠪⠒⠈⠳,umbs,1,True
\circlearrowleft,021BA,↺,⠫⠢⠔⠕,umbs,1,True
\circlearrowright,021BB,↻,⠫⠪⠢⠔,umbs,1,True
\leftharpoonup,021BC,↼,⠫⠈⠪⠒⠒,umbs,1,True
\leftharpoondown,021BD,↽,⠫⠠⠪⠒⠒,umbs,1,True
\upharpoonright,021BE,↾,⠫⠣⠒⠒⠠⠕,umbs,1,True
\upharpoonleft,021BF,↿,⠫⠣⠒⠒⠈⠕,umbs,1,True
\rightharpoonup,021C0,⇀,⠫⠒⠒⠈⠕,umbs,1,True
\rightharpoondown,021C1,⇁,⠫⠒⠒⠠⠕,umbs,1,True
\downharpoonright,021C2,⇂,⠫⠩⠒⠒⠈⠕,umbs,1,True
\downharpoonleft,021C3,⇃,⠫⠩⠒⠒⠠⠕,umbs,1,True
\rightleftarrows,021C4,⇄,⠫⠒⠒⠕⠫⠪⠒⠒,self,1,True
\updownarrows,021C5,⇅,⠫⠣⠒⠒⠕⠐⠫⠩⠒⠒⠕,self,1,True
\leftrightarrows,021C6,⇆,⠫⠪⠒⠒⠫⠒⠒⠕,umbs,1,True
\leftleftarrows,021C7,⇇,⠫⠪⠒⠒⠫⠪⠒⠒,umbs,1,True
\upuparrows,021C8,⇈,⠫⠣⠒⠒⠕⠐⠫⠣⠒⠒⠕,umbs,1,True
\rightrightarrows,021C9,⇉,⠫⠒⠒⠕⠫⠒⠒⠕,umbs,1,True
\downdownarrows,021CA,⇊,⠫⠩⠒⠒⠕⠐⠫⠩⠒⠒⠕,umbs,1,True
\leftrightharpoons,021CB,⇋,⠫⠈⠪⠒⠒⠫⠒⠒⠠⠕,umbs,1,True
\rightleftharpoons,021CC,⇌,⠫⠒⠒⠈⠕⠫⠠⠪⠒⠒,self,1,True
\nLeftarrow,021CD,⇍,⠳⠈⠫⠪⠶⠶⠻,umbs,1,True
\nLeftrightarrow,021CE,⇎,⠳⠈⠫⠪⠶⠶⠕⠻,umbs,1,True
\nRightarrow,021CF,⇏,⠳⠈⠫⠶⠶⠕⠻,umbs,1,True
\Leftarrow,021D0,⇐,⠫⠪⠶⠶,umbs,1,True
\Uparrow,021D1,⇑,⠫⠣⠶⠶⠕,umbs,1,True
\Rightarrow,021D2,⇒,⠫⠶⠶⠕,umbs,1,True
\Downarrow,021D3,⇓,⠫⠩⠶⠶⠕,umbs,1,True
\Leftrightarrow,021D4,⇔,⠫⠪⠶⠶⠕,umbs,1,True
\Updownarrow,021D5,⇕,⠫⠣⠪⠶⠶⠕,umbs,1,True
\Nwarrow,021D6,⇖,⠫⠘⠪⠶⠶,umbs,1,True
\Nearrow,021D7,⇗,⠫⠘⠶⠶⠕,umbs,1,True
\Searrow,021D8,⇘,⠫⠰⠶⠶⠕,umbs,1,True
\Swarrow,021D9,⇙,⠫⠰⠪⠶⠶,umbs,1,True
\Lleftarrow,021DA,⇚,⠫⠪⠸⠸,umbs,1,True
\Rrightarrow,021DB,⇛,⠫⠸⠸⠕,umbs,1,True
\leftsquigarrow,021DC,⇜,⠫⠪⠢⠤⠔⠒⠢,umbs,1,True
\rightsquigarrow,021DD,⇝,⠫⠢⠤⠔⠒⠢⠕,umbs,1,True
,021DE,⇞,⠳⠳⠈⠫⠣⠒⠒⠕⠻,umbs,1,True
,021DF,⇟,⠳⠳⠈⠫⠩⠒⠒⠕⠻,umbs,1,True
\dashleftarrow,021E0,⇠,⠫⠪⠒⠀⠒,umbs,1,True
,021E1,⇡,⠫⠣⠒⠀⠒⠕,umbs,1,True
\dashrightarrow,021E2,⇢,⠫⠒⠀⠒⠕,umbs,1,True
,021E3,⇣,⠫⠩⠒⠀⠒⠕,umbs,1,True
\LeftArrowBar,021E4,⇤,⠳⠫⠪⠒⠒,umbs,1,True
\RightArrowBar,021E5,⇥,⠫⠒⠒⠕⠳,umbs,1,True
,021F4,⇴,⠨⠡⠈⠫⠒⠒⠕⠻,umbs,1,True
\downuparrows,021F5,⇵,⠫⠩⠒⠒⠕⠐⠫⠣⠒⠒⠕,self,1,True
,021F6,⇶,⠫⠒⠒⠕⠫⠒⠒⠕⠫⠒⠒⠕,umbs,1,True
,021F7,⇷,⠳⠈⠫⠪⠒⠒⠻,umbs,2,True
\pfun,021F8,⇸,⠳⠈⠫⠒⠒⠕⠻,umbs,2,True
,021F9,⇹,⠳⠈⠫⠪⠒⠒⠕⠻,umbs,2,True
,021FA,⇺,⠳⠳⠈⠫⠪⠒⠒⠻,umbs,1,True
\ffun,021FB,⇻,⠳⠳⠈⠫⠒⠒⠕⠻,umbs,1,True
,021FC,⇼,⠳⠳⠈⠫⠪⠒⠒⠕⠻,umbs,1,True
\forall,02200,∀,⠈⠯,self,1,True
\partial,02202,∂,⠈⠙,self,1,True
\exists,02203,∃,⠈⠿,self2,1,True
\nexists,02204,∄,⠌⠈⠿,self2,1,True
\emptyset,02205,∅,⠸⠴,self,1,True
\nabla,02207,∇,⠨⠫,self,1,True
\in,02208,∈,⠈⠑,self,1,True
\notin,02209,∉,⠌⠈⠑,self,1,True
\ni,0220B,∋,⠈⠢,ctb,1,True
\nni,0220C,∌,⠌⠈⠢,ctb,1,True
,0220E,∎,⠸⠳,ctb,1,True
\prod,0220F,∏,⠨⠠⠏,ctb,1,True
\sum,02211,∑,⠨⠠⠎,ctb,1,True
-,02212,−,⠤,umbs,3,True
\mp,02213,∓,⠤⠬,self,1,True
\dotplus,02214,∔,⠐⠬⠣⠡⠻,ctb,1,True
\slash,02215,∕,⠸⠌,ctb,1,True
\ast,02217,∗,⠈⠼,ctb,1,True
\circ,02218,∘,⠨⠡,umbs,1,True
\bullet,02219,∙,⠡,ctb,3,True
\sqrt,0221A,√,⠜⠻,ctb,1,True
\sqrt[3],0221B,∛,⠣⠒⠜⠻,ctb,1,True
\sqrt[4],0221C,∜,⠣⠲⠜⠻,ctb,1,True
\propto,0221D,∝,⠸⠿,self,1,True
\infty,0221E,∞,⠠⠿,self,1,True
\rightangle,0221F,∟,⠫⠪⠨⠗⠻,umbs,1,True
\angle,02220,∠,⠫⠪,self,1,True
\measuredangle,02221,∡,⠫⠪⠸⠫⠫⠁⠻,self,1,True
\sphericalangle,02222,∢,⠫⠪⠸⠫⠫⠁⠻,ctb,2,True
\mid,02223,∣,⠳,ctb,2,True
\nmid,02224,∤,⠌⠳,ctb,1,True
\parallel,02225,∥,⠀⠫⠇⠀,self,1,True
\nparallel,02226,∦,⠌⠫⠇,self,1,True
\wedge,02227,∧,⠈⠩,self,1,True
\vee,02228,∨,⠈⠬,self,1,True
\cap,02229,∩,⠨⠩,self,1,True
\cup,0222A,∪,⠨⠬,self,1,True
\int,0222B,∫,⠮,self,1,True
\iint,0222C,∬,⠮⠮,self,1,True
\iiint,0222D,∭,⠮⠮⠮,self,1,True
\oint,0222E,∮,⠮⠈⠫⠉⠻,self,1,True
\oiint,0222F,∯,⠮⠮⠈⠫⠑⠻,ctb,1,True
\oiiint,02230,∰,⠮⠮⠮⠈⠫⠑⠻,ctb,1,True
\varointclockwise,02232,∲,⠮⠈⠫⠪⠢⠔⠻,ctb,1,True
\ointctrclockwise,02233,∳,⠮⠈⠫⠢⠔⠕⠻,ctb,1,True
\therefore,02234,∴,⠠⠡,self,1,True
\because,02235,∵,⠈⠌,self,1,True
∶,02236,∶,⠐⠂,self,1,True
\Proportion,02237,∷,⠰⠆,self,1,True
,02238,∸,⠨⠤,self,1,True
\eqcolon,02239,∹,⠤⠐⠂,umbs,1,True
,0223A,∺,⠐⠤⠩⠡⠡⠣⠡⠡⠻,umbs,1,True
,0223B,∻,⠐⠈⠱⠩⠡⠣⠡⠻,umbs,2,True
\sim,0223C,∼,⠈⠱,self,1,True
\backsim,0223D,∽,⠠⠈⠱,ctb,1,True
\nsim,02241,≁,⠌⠈⠱,ctb,1,True
\eqsim,02242,≂,⠱⠈⠱,ctb,1,True
\simeq,02243,≃,⠈⠱⠱,ctb,1,True
\nsimeq,02244,≄,⠌⠈⠱⠱,ctb,1,True
\cong,02245,≅,⠈⠱⠨⠅,self,1,True
,02246,≆,⠈⠱⠌⠨⠅,ctb,1,True
\ncong,02247,≇,⠌⠈⠱⠌⠨⠅,ctb,1,True
\approx,02248,≈,⠈⠱⠈⠱,ctb,1,True
\napprox,02249,≉,⠌⠈⠱⠈⠱,ctb,1,True
\approxeq,0224A,≊,⠈⠱⠈⠱⠱,ctb,1,True
,0224B,≋,⠈⠱⠈⠱⠈⠱,ctb,1,True
,0224C,≌,⠠⠈⠱⠨⠅,ctb,1,True
\asymp,0224D,≍,⠈⠣⠠⠣,ctb,1,True
\Bumpeq,0224E,≎,⠈⠣⠠⠣,ctb,2,True
\bumpeq,0224F,≏,⠈⠣⠱,ctb,1,True
\doteq,02250,≐,⠐⠨⠅⠣⠡⠻,ctb,1,True
\doteqdot,02251,≑,⠐⠨⠅⠣⠡⠣⠡⠻,self,1,True
\fallingdotseq,02252,≒,⠐⠨⠅⠩⠡⠣⠡⠻,ctb,1,True
\risingdotseq,02253,≓,⠐⠨⠅⠩⠡⠣⠡⠻,ctb,2,True
\coloneq,02254,≔,⠐⠂⠨⠅,umbs,1,True
\eqcolon,02255,≕,⠨⠅⠐⠂,umbs,1,True
\eqcirc,02256,≖,⠨⠡⠈⠨⠅⠻,ctb,1,True
\circeq,02257,≗,⠐⠨⠅⠣⠨⠡⠻,ctb,1,True
,02258,≘,⠐⠨⠅⠣⠫⠁⠻,ctb,1,True
\corresponds,02259,≙,⠐⠨⠅⠣⠸⠣⠻,ctb,1,True
,0225A,≚,⠐⠨⠅⠣⠸⠩⠻,ctb,1,True
,0225B,≛,⠐⠨⠅⠣⠈⠼⠻,ctb,1,True
\triangleq,0225C,≜,⠐⠨⠅⠣⠫⠞⠻,self,1,True
,0225D,≝,⠐⠨⠅⠣⠙⠑⠋⠻,ctb,1,True
,0225E,≞,⠐⠨⠅⠣⠍⠻,ctb,1,True
,0225F,≟,⠐⠨⠅⠣⠸⠦⠻,ctb,1,True
\ne,02260,≠,⠌⠨⠅,self,1,True
\equiv,02261,≡,⠸⠇,self,1,True
\nequiv,02262,≢,⠌⠸⠇,ctb,1,True
,02263,≣,⠨⠅⠨⠅,ctb,1,True
\leq,02264,≤,⠐⠅⠱,self,1,True
\geq,02265,≥,⠨⠂⠱,self,1,True
\leqq,02266,≦,⠐⠅⠨⠅,ctb,1,True
\geqq,02267,≧,⠨⠂⠨⠅,ctb,1,True
\lneqq,02268,≨,⠐⠅⠌⠨⠅,ctb,1,True
\gneqq,02269,≩,⠨⠂⠌⠨⠅,ctb,1,True
\ll,0226A,≪,⠐⠅⠈⠐⠅⠻,self,1,True
\gg,0226B,≫,⠨⠂⠈⠨⠂⠻,self,1,True
\notasymp,0226D,≭,⠌⠈⠣⠠⠣,ctb,1,True
\nless,0226E,≮,⠌⠐⠅,self,1,True
\ngtr,0226F,≯,⠌⠨⠂,self,1,True
\nleqq,02270,≰,⠌⠐⠅⠱,self,1,True
\ngeqq,02271,≱,⠌⠨⠂⠱,self,1,True
\lesssim,02272,≲,⠐⠅⠈⠱,ctb,1,True
\gtrsim,02273,≳,⠨⠂⠈⠱,ctb,1,True
\NotLessTilde,02274,≴,⠌⠐⠅⠈⠱,ctb,1,True
\NotGreaterTilde,02275,≵,⠌⠨⠂⠈⠱,ctb,1,True
\lessgtr,02276,≶,⠐⠅⠨⠂,ctb,1,True
\gtrless,02277,≷,⠨⠂⠐⠅,self2,1,True
,02278,≸,⠌⠐⠅⠨⠂,ctb,1,True
\NotGreaterLess,02279,≹,⠌⠨⠂⠐⠅,ctb,1,True
\prec,0227A,≺,⠨⠐⠅,umbs,1,True
\succ,0227B,≻,⠨⠨⠂,umbs,1,True
\precsim,0227E,≾,⠨⠐⠅⠈⠱,umbs,1,True
\succsim,0227F,≿,⠨⠨⠂⠈⠱,umbs,1,True
\subset,02282,⊂,⠸⠐⠅,self,1,True
\supset,02283,⊃,⠸⠨⠂,self,1,True
\nsubset,02284,⊄,⠌⠸⠐⠅,ctb,1,True
